poi_id,name,lon,lat,connect_to,connect_type,d_branch
B0J0VUTIMI,京东2期物流园,117.352522,39.190564,3-8,edge,1547.3123595979976
B0FFJ3XKRR,通力物流园,117.377057,39.225172,3-8,edge,2501.936043232045
B0FFHCKA8O,天津树森物流公司,117.468186,39.103874,3-7,edge,2733.5520208095254
B0L3MUL37S,顺心物流,117.379425,39.224025,3-8,edge,2590.183616458863
B0016115VE,天津天纺物流有限公司,117.345742,39.091588,0,center,3152.443274008424
B0FFGLLR4C,宜家物流分拨中心,117.455172,39.104031,3-7,edge,1693.095631350781
B0FFGFVRW3,天津全程物流配送有限公司,117.325917,39.201756,8-9,edge,1454.9839446428562
B0FFJMKI5D,巨邦物流中心,117.248479,39.187571,8-9,edge,1106.8623603182316
B0FFG8PFBB,荣明达物流,117.288284,39.190475,8-9,edge,633.2811512241184
B0016151L6,神州通物流园,117.413214,39.123002,3-7,edge,921.0010902162585
B001617LDT,盛泰物流,117.34526,39.092605,0,center,3099.4700293165874
B0FFIBDWAD,古镇物流园,117.446414,39.038031,7,center,2482.28470018391
B001617LEA,立业物流园,117.444855,39.043597,7,center,1989.5763985017957
B0FFK8H551,北方万邦物流有限公司天津分公司,117.462362,39.055071,7,center,612.3485102071897
B0GR3RK0J7,晟赫物流,117.473529,39.112415,3-7,edge,3498.374243389629
B0FFHEBKA7,巨邦物流中心西院,117.247552,39.188536,8-9,edge,1240.5928256991074
B0J2A568WY,中外运物流公司空港分发中心,117.460443,39.116708,3-7,edge,2628.2251421281508
B0L1ZAKVBD,蓝页物满满·全国物流专线查询平台(天津分公司),117.38767,39.226553,3-8,edge,3316.6550069885075
B0H1CH3QSG,安能物流(港城大道店),117.479001,39.110718,3-7,edge,3870.9615299169004
B0FFKMFC75,杨北路物流园,117.353583,39.225055,3-8,edge,938.1108696593241
B0G2AC5RUU,旭阳升物流(鑫旺居家居装饰有限公司),117.388077,39.225454,3-8,edge,3267.2260818417153
B0JDDNWA6B,振东物流集团,117.256519,39.180857,8-9,edge,122.23169671839229
B0LAD58E06,泰昌物流,117.355025,39.224883,3-8,edge,1004.260073528126
B0G14ADSDZ,跨越速运天津东丽分拨,117.370394,39.170306,3-8,edge,1731.475397464758
B001617ENJ,天津利达物流服务有限公司,117.455682,39.052833,7,center,669.8911346075386
B0FFL45C3I,嘉士普物流,117.387263,39.226042,3-8,edge,3253.379510326899
B0FFICG921,荣顺昌物流,117.355515,39.22976,3-8,edge,1359.9844569051254
B0FFKFB8C1,中通快递天津转运中心,117.446165,39.124947,3-7,edge,1810.7508230046546
B001611O6P,鑫汇洋物流公司,117.25889,39.194793,8-9,edge,1248.3803878931146
B0FFGQL1ZP,蚁安居天津军粮城物流中心,117.455916,39.042173,7,center,1846.8554789796444
B0KU15TDX4,建发钢铁,117.461786,39.110697,3-7,edge,2490.015050112114
B0FFJGFL7G,宇鑫物流天津东丽区营业部,117.355787,39.228918,3-8,edge,1319.5391448561027
B0JAU7R290,圆创物流,117.355156,39.227822,3-8,edge,1204.6029005509915
B0FFHCTPO0,韵达快递(天津分拨中心),117.464845,39.134646,3-7,edge,3701.9154513854887
B0GRSHC5DA,天津宇洋顺通物流有限公司,117.357035,39.230739,3-8,edge,1530.2314414179027
B0FFLHUZ8I,瀛海物流(杨北路建材城店),117.354799,39.228884,3-8,edge,1250.172135115482
B0016153Q1,津亚物流园,117.350083,39.226831,3-8,edge,794.9909464582405
B0JGF7M6AN,东丽区荣原物流(河南专线),117.356101,39.226151,3-8,edge,1171.2527757470566
B0FFGXVZF4,军粮城东铁物流公司,117.440295,39.0456,7,center,2060.18470992878
B0HKV554JY,德邦快递(天津东丽区振东经营分部),117.25529,39.187612,8-9,edge,776.5144882795122
B0FFGHUDTN,振东物流中心,117.250954,39.189355,8-9,edge,1167.0069852553875
B0HKDR3J25,天津市振东展运货运有限公司,117.355475,39.225025,3-8,edge,1042.1562937792212
B0FFJXXIYH,宇佳乡村通物流(天津总部),117.356927,39.227202,3-8,edge,1300.6806356999543
B00160DTIQ,普洛斯天津空港物流园,117.389011,39.135593,3-7,edge,2350.019809442752
B0G23SD4JX,天津九邦货运有限公司,117.433769,39.132742,3-7,edge,1152.3709558952996
B0FFLEXEK0,宝隆物流,117.243038,39.187807,8-9,edge,1399.8233938339297
B0FFLH2V0Y,韩明物流园,117.355844,39.223064,3-8,edge,921.2740758763168
B0FFMGLV5R,普洛斯东丽华明物流园,117.369466,39.168359,3-8,edge,1920.3743228953313
B0HGCZIGI9,全拓物流,117.353858,39.228177,3-8,edge,1137.7257718953604
B0H0XC4ORI,妈妈驿站(驯海路店),117.343945,39.087719,0,center,3082.336145614704
B0FFK1QZ5T,常佳物流,117.354426,39.229027,3-8,edge,1235.7221393580892
B0FFGBYWHN,天津市通广物流有限公司,117.290784,39.196811,8-9,edge,192.7075815013909
B001616UZB,国药控股天津物流有限公司,117.422639,39.146678,3-7,edge,801.4421277702438
B0GRD5IAZX,壹米滴答快运北方五金城营业部(慧捷路店),117.276409,39.196249,8-9,edge,521.6864923001216
B00160AQLK,天津邮政物流中心,117.335955,39.110603,0,center,2870.663444903673
B0FFL8DTJ3,天津货运中心张贵庄货场,117.310497,39.098276,0,center,377.50144776609943
B0J0KHWWRC,天禾电通仓储物流中心,117.344905,39.090962,0,center,3090.034396212251
B0JGUSCRNE,晨星物流(原东腾),117.248108,39.185108,8-9,edge,932.3599267143138
B0HA6H8XXD,鑫元思达物流杭州宁波专线,117.356309,39.231087,3-8,edge,1509.53675887106
B0FFHGN7I9,北京康捷空国际货运代理有限公司滨海新区分公司,117.382004,39.159332,3-8,edge,1695.9157613681791
B0FFGI6RKW,天津货运中心北环营业部,117.305417,39.187881,8-9,edge,1703.5057896264052
B0H1X41YO6,世鑫盛货运中心,117.284731,39.128091,0-4,edge,1605.9893095860173
B0HAKBH5G2,天津市圣道物流有限公司,117.289873,39.199582,8-9,edge,140.50150147329745
B0G246BGAJ,天津市广会通物流有限公司,117.390679,39.222148,3-8,edge,3216.686946433497
B0KDSGVIJG,天津苏宁物流有限公司,117.433081,39.137125,3-7,edge,1275.0801088600404
B0GRAD3KOM,永信物流,117.292759,39.204198,8-9,edge,416.9416508118054
B0FFIR3R50,亨达物流(津芦线店),117.355125,39.223175,3-8,edge,879.6475348836655
B0HKUSUWC6,物产中大物流天津汇金库,117.385124,39.131623,3-7,edge,2827.890737005716
B0I26HJAIO,津汇航物流(上海专线),117.355077,39.225435,3-8,edge,1053.4131375381542
B0FFG5BDKZ,北盛伟业低温运输有限公司,117.259461,39.195659,8-9,edge,1309.4515133772156
B0FFH6GIDR,菜鸟驿站(闽中路店),117.242189,39.191574,8-9,edge,1798.3935021798945
B0FFITK2LF,宝供(天津)国际物流基地,117.430405,39.125841,3-7,edge,604.6419946262619
B0016112BF,天津宝仓钢管物流有限公司,117.449658,39.038441,7,center,2348.5047509386336
B0FFGSY7KY,天津市物流货运中心金钟物流园,117.292253,39.199446,8-9,edge,160.2406754941796
B0FFLGQ6ZY,民航小区航七妈妈驿站,117.348184,39.107559,0,center,3621.482398490389
B0H335UT7A,诺信达,117.354758,39.231069,3-8,edge,1413.7184481025506
B0J6AZUMCI,妈妈驿站(华明便民服务中心店),117.367701,39.173372,3-8,edge,1695.969763012764
B0FFGI6KTR,天津天纺高新物流有限公司(中环南路),117.430613,39.12865,3-7,edge,711.1208662860926
B0FFJ81MLY,蓝盟供应链,117.388834,39.222389,3-8,edge,3113.035823261375
B0FFLFK83S,万昌物流石家庄专线,117.353893,39.232334,8,center,1432.4917154311229
B0FFMBYZJZ,天津津山汉物流有限公司,117.371423,39.223461,3-8,edge,2011.252531712796
B0FFJLJ5CF,鼎盛物流(杨北路建材城店),117.356675,39.228925,3-8,edge,1381.888058022748
B0J0V7TN6A,天津嘛都行货运司机之家,117.351694,39.083332,0,center,3866.903394050934
B0G01CRZYY,富鑫物流(石家庄专线),117.354268,39.231458,8,center,1410.6088900343107
B0G1TCX2J3,本源电动车物流园,117.254393,39.187824,8-9,edge,846.9575344181602
B0GDF5X912,中外运冷链物流(天津)有限公司,117.411284,39.127087,3-7,edge,912.7683676160055
B0FFH8KHV4,天津航空物流区,117.338391,39.119295,0,center,3679.39481535415
B00160CK68,大家乐物流,117.255145,39.188827,8-9,edge,888.6691884746793
B0FFIAS6JX,云淼安顺物流,117.355483,39.231614,3-8,edge,1500.6407319828656
B0JRXZ7JBB,斯通达物流(天津)有限公司,117.44712,39.045144,7,center,1741.524947372754
B0JDBS8PQ3,盛泰物流院内6号库,117.342768,39.093617,0,center,2877.1313818719805
B0FFLFK225,天津通迈达物流,117.354375,39.223175,3-8,edge,830.454235854198
B0IG9HCFOL,壹米滴答(空港营业部),117.393283,39.129743,3-7,edge,2255.272289835356
B00160A0IV,东堼铁路储运公司,117.469506,39.052559,7,center,1274.2755902814347
B0JKC9IB9R,好速来数智物流天津仓,117.351123,39.189778,3-8,edge,1694.8827241648444
B0FFIR58DT,天津市龙汉达物流有限公司,117.355434,39.232114,8,center,1533.7913942405821
B0FFLI1885,腾龙物流江苏专线,117.357007,39.231309,3-8,edge,1570.4158332129218
B0FFIMFI88,鼎顺鹏华物流,117.354157,39.231915,8,center,1427.4119760929395
B0FFGK7FU4,快时达空运,117.344952,39.091106,0,center,3091.7763203853206
B0J177CTJK,建凯物流,117.355118,39.227423,3-8,edge,1177.6890316158633
B0G0THF8R5,天津市永安快运物流有限公司,117.356308,39.229022,3-8,edge,1362.4734308931052
B0FFI1N70W,顺丰速运(军粮城店),117.447259,39.04509,7,center,1740.8603305965796
B0LKBXV0L8,顺丰速运(华明家园店),117.394414,39.164981,3-8,edge,464.9679593541031
B0FFGC279B,天津易客满国际物流有限公司,117.333444,39.115344,0,center,3067.135845816673
B0HBU7Y3XT,天津方圆物流有限公司,117.353615,39.22903,3-8,edge,1183.8293528650136
B0JBCRG7XJ,中原新创物流(东丽站),117.354138,39.225388,3-8,edge,996.6516119528693
B0FFGKIHJN,中国移动通信集团华北大区物流中心,117.434151,39.105775,3-7,edge,66.03045980256682
B0JRMMO9J8,七星国际物流,117.3399,39.110092,0,center,3117.3729932796923
B0JAZ77S4R,萌萌物流廊坊专线,117.356033,39.225872,3-8,edge,1144.0895787651218
B0FFH91PIJ,天津飞虎物流有限公司,117.341836,39.102506,0,center,2915.414114172721
B0K0THOQWZ,天津三志物流分拨中心,117.354139,39.225859,3-8,edge,1018.9008337635404
B0JRNUADBD,顺丰速运(新立街店),117.350878,39.083254,0,center,3803.580455531283
B0GU4SSTMV,天津市宝利通物流有限公司,117.353659,39.231478,8,center,1365.9017228281468
B0FFLFELQM,天津凌宇物流,117.357027,39.232644,3-8,edge,1675.2868183538276
B0G13U1VBE,天津市东丽区魏王储运有限公司,117.452388,39.039178,7,center,2214.673898636758
B0GUJ4OQIB,顺丰速运(登州路店),117.300773,39.135819,0-4,edge,3126.433315274455
B0GKNM7BYD,利腾达物流,117.353868,39.231926,8,center,1406.6768721220838
B0FFJD268R,汇百和物流,117.249407,39.187671,8-9,edge,1068.285302948248
B0IRRCFISZ,顺丰速运(中心大道店),117.405487,39.1436,3-7,edge,743.6322225578724
B0FFMF2X85,徐庄子振东物流,117.255547,39.187068,8-9,edge,717.2589303279744
B0FFLFC1HE,博仕达物流青岛专线,117.354319,39.231699,8,center,1427.4647714389632
B0FFLA7UEM,顺丰速运(瑞航店),117.392596,39.157402,3-8,edge,1111.9942435614703
B0016112AX,东铁物流,117.446737,39.049869,7,center,1332.806412231927
B0J2CLZKM7,猛犸(天津)国际物流有限公司,117.353893,39.231084,8,center,1362.4952038797776
B0G35UUM65,顺丰速运(新中村店),117.282216,39.208344,8-9,edge,1317.1543031277777
B0GUVGVBW6,中通快递(河东七部),117.3139,39.117349,0-4,edge,2203.2972743843416
B0JG2MAT7F,天津晨光领航达物流德州宁津专线,117.354719,39.226526,3-8,edge,1097.5085745769902
B0GU9ZUGPN,轩轩物流沧州廊坊全境,117.354697,39.229304,3-8,edge,1273.5237722229624
B0J0FSPEQG,洲能物流,117.303784,39.226878,8-9,edge,1934.8252891296922
B0LRNSKC9O,顺丰速运(天津主仓营业部),117.389012,39.135993,3-7,edge,2333.1961106138965
B0FFKXRPIA,天津佳宝双赢物流有限公司,117.35505,39.22982,3-8,edge,1334.3261388658827
B0LGN9X0Z6,佳吉快运(徐庄路店),117.251477,39.189378,8-9,edge,1148.230674451122
B0FFF47UOP,天津市全鑫运输队(金河家园西),117.278004,39.203469,8-9,edge,1085.338168363787
B0FFHQ1GH6,老圆通,117.415741,39.107717,3-7,edge,1353.4069490285874
B0FFIN51Z6,顺丰速运(融创城店),117.306519,39.115578,0-4,edge,1648.9666265354897
B0G2RAI2NS,长吉物流营口专线,117.355113,39.232279,8,center,1518.9057506250952
B0ID7UAOTY,天津湘商贸易食材配送中心,117.247311,39.185593,8-9,edge,1014.4565607057448
B0JAVX3NQR,菜鸟驿站(嘉春园店),117.300239,39.105538,0-4,edge,487.8671664224587
B0FFKZVIOT,菜鸟驿站(天津金河家园33号楼旁存车处店),117.280537,39.205848,8-9,edge,1200.8672748494641
B0FFL94KNH,天津晶鑫物流有限公司,117.356535,39.228046,3-8,edge,1317.9059775098603
B0I0AX780I,菜鸟驿站(上东金茂智慧科学城一期店),117.291815,39.113414,0-4,edge,695.7143811997827
B0FFGMG81C,中国航油集团津京管道运输有限责任公司(进场路南一道),117.338568,39.117276,0,center,3528.5609314055278
B0L0OUIVJI,顺丰速运(机场店),117.33746,39.120958,0,center,3765.334034135616
B0FFIPKVQR,吉顺和物流,117.35546,39.228813,3-8,edge,1290.0321815869922
B0FFM8XZH6,中国邮政,117.338884,39.168908,3-8,edge,3958.219783304792
B0FFKTRKQ5,壹米滴答(跃进路店),117.288095,39.20599,8-9,edge,843.317793283593
B0J30U3SCV,顺丰速运(华新街店),117.422834,39.163381,3-7,edge,1512.8098187205671
B0FFL8FCPB,天津市阳光物流有限公司(江苏安徽专线),117.356325,39.230059,3-8,edge,1434.707066288705
B0FFGI7HYD,安捷物流,117.289192,39.19024,8-9,edge,686.5757101183771
B0016115M3,万利运输公司,117.343213,39.075081,0,center,3656.8979529285243
B0GKSUMTZV,唐山智通专线,117.356638,39.230335,3-8,edge,1475.0860279920153
B0FFKWBI14,快递驿站,117.343953,39.087719,0,center,3083.002502102714
B0KGTSCW0O,顺丰速运(保利店),117.265972,39.162177,8-9,edge,2072.370566231103
B0FFKQKLRI,菜鸟驿站(黄岩里北区店),117.301732,39.089293,0,center,919.6323843738292
B0FFM4ENM7,鸿裕物流,117.378225,39.225803,3-8,edge,2624.2942109132405
B0GR3SIK3L,天津滨海东旺运输有限公司,117.442575,39.050825,7,center,1532.7832711790822
B0FFLFGGQO,天津三合旺物流有限公司,117.35517,39.231895,8,center,1502.0926977933968
B0JGRA2226,佳博物流,117.356543,39.226867,3-8,edge,1254.242595946733
B0HUCOUKGI,菜鸟驿站(丽秀华庭店),117.324975,39.077475,0,center,2361.411190790364
B0FFH8HQ98,中国邮政(华明邮政所),117.393379,39.171062,3-8,edge,117.97895358355403
B0JK7CO4JQ,菜鸟速递天津万新站,117.299993,39.136438,0-4,edge,3135.00401234528
B0J0NHFO49,宝航(天津)仓储分拨中心,117.354418,39.226933,3-8,edge,1097.735023014756
B001616UZC,天津木村进和物流有限公司,117.424379,39.14705,3-7,edge,955.5409884544496
B0J3YHC9DE,天津华鑫诺物流有限公司,117.445732,39.039857,7,center,2319.30150971555
B0G0J5JAG7,天津恒源顺通物流有限公司,117.355875,39.228825,3-8,edge,1319.4458475926206
B0FFJKXK5W,菜鸟驿站(天津东丽区徐庄子店),117.256817,39.185025,8-9,edge,484.70625395830206
B0FFJGLBE7,菜鸟驿站(昆俞欣园店),117.28944,39.1655,8-9,edge,2938.5924428593867
B0G2C7A4KT,天津市盛达物流庄河专线,117.353975,39.232425,8,center,1443.9068197133454
B0H3TXOXS0,菜鸟驿站(橡树湾仰润轩店),117.4005,39.17333,3-8,edge,545.7037910421129
B0HGU5FHN2,天津市津南区川宇物流有限公司,117.435572,39.057126,3-7,edge,1796.025974032452
B0JAYUGHRG,天津赛昕物流,117.354475,39.223825,3-8,edge,886.3851697924141
B0FFKBVX9E,菜鸟驿站(悦和里店),117.258626,39.20358,8-9,edge,2059.7909510089626
B0KDG5HS5O,久远物流天津分公司,117.405496,39.176732,3-8,edge,1103.1589336580214
B0GKS5LBR7,冯岩顺通,117.356503,39.228856,3-8,edge,1365.355440209984
B0FFHA2BXF,叶水福天津空港物流园(东区),117.373823,39.15338,3-8,edge,2655.5705181302064
B0HRVOE9TL,极兔速递天津东丽大毕庄网点(金河家园店),117.279085,39.208318,8-9,edge,1483.443770493436
B0KUJXN69I,菜鸟驿站(仁欣家园店),117.410526,39.07017,3-7,edge,3280.723593665643
B0IKKAQ1JA,尚妍养生,117.401025,39.149875,3-7,edge,806.050790273399
B0IUGAKPIW,康吉医疗器械,117.328224,39.088629,0,center,1765.256443605048
B0IUTH4DEV,天津西图之美医疗器械科技有限公司,117.393212,39.129074,3-7,edge,2282.3457855796673
B0KRJ1BN61,乾亿医疗器械(天津店),117.395946,39.146807,3-7,edge,1343.0178914611633
B0016164IH,中国外运华北有限公司,117.213703,39.117424,1-2,edge,714.3263554630965
B0J3T5LYC8,天津外代货运有限公司,117.216225,39.119825,1-4,edge,613.3089923959711
B001611OMC,顺丰速运(荣业大街店),117.185422,39.126695,1-6,edge,717.1330978629009
B0FFG07M5G,顺丰速运(大沽北路店),117.211461,39.122144,1-4,edge,372.1086477090553
B0G3M7ZKLU,顺丰速运(新华路店),117.193535,39.126053,1-6,edge,343.4309769209273
B0FFIDRRTY,德邦快递(天津和平区河南路经营分部),117.193189,39.125167,1-5,edge,284.17206355590616
B0GDU97BXE,菜鸟驿站(鸿记里小区店),117.195768,39.124985,1,center,235.95077087539485
B00160DB0C,中国邮政(山西路邮政所),117.202048,39.119535,1-2,edge,250.50096052838134
B001616681,汉阳道邮政所,117.192171,39.11316,1-5,edge,747.7413791553553
B0IUP71Q0F,中国邮政(开封道邮政所),117.217201,39.115332,1-2,edge,886.7679211982146
B0K3MCSUSA,顺丰速运(西康路店),117.18752,39.106266,1-5,edge,1001.8592448873446
B0IUCGJ7NB,顺丰速运(海信广场店),117.217729,39.117786,1-4,edge,834.1807212732723
B0JRN5DXXT,顺丰速运(昆明路店),117.180717,39.109803,1-5,edge,367.19230208300166
B0G2UH3LO9,宜昌南里熊猫驿站,117.187868,39.107444,1-5,edge,929.6228437704101
B0FFMETJ52,菜鸟驿站(树德里店),117.186749,39.114319,1-5,edge,290.5467223212471
B0FFHD8BMS,菜鸟驿站(天津建津里15号增1号店),117.182832,39.111633,1-5,edge,300.20907270353064
B0FFH5PT0M,菜鸟驿站(卫华里小区店),117.182573,39.103155,1-5,edge,974.9543036064996
B0FFH44P05,佳怡国际,117.179952,39.110524,1-5,edge,279.61857958766035
B0FFF6X4Y2,申通快递(世昌里小区店),117.189947,39.116265,1-5,edge,360.94725255353194
B0FFF5773L,申通快递(同安道分点),117.183816,39.102464,1-5,edge,1103.416739557625
B0016072CJ,中国邮政(滨江道支局),117.202477,39.12786,1-9,edge,284.178126356776
B0L1TS3DCH,顺丰速运(赛顿快递服务中心),117.194,39.106,1-5,edge,1404.637210139037
B0K62SAY7V,极兔速递(天津和平吴家窑网点),117.189635,39.112344,1-5,edge,621.742861564039
B0FFHNKRNM,菜鸟驿站(吴家窑二号路店),117.191125,39.104325,1-5,edge,1372.305415517531
B0FFGZGPNJ,中通快递(金伦公寓店),117.182398,39.12474,1-5,edge,823.6681846913342
B0FFHR1GZ5,中国邮政(宜昌道邮政所),117.187409,39.108282,1-5,edge,838.932350883198
B0HUJO2EB9,菜鸟驿站(天津和平区明筑轩2号楼底商店),117.18174,39.12712,1-6,edge,874.4243076252048
B0I2OXV0A7,菜鸟驿站(新汇华庭店),117.187625,39.134925,1-6,edge,269.47822864144484
B0IA3XKSIV,圆通妈妈驿站(蓉芳里小区店),117.186089,39.128121,1-6,edge,550.1732979436625
B0JUHHTNW2,天津圣世特物流有限公司,117.198525,39.118525,1-2,edge,424.5611362510167
B0GROL6XLZ,菜鸟驿站(天津市哈密道115号店),117.193084,39.123121,1-5,edge,73.64884477925413
B0G1958IJC,菜鸟驿站(吉利花园店),117.192094,39.117722,1-5,edge,323.4981576326948
B0GDX9RKLI,菜鸟驿站(银行里小区店),117.183284,39.109858,1-5,edge,460.71180430517205
B0IAVAE26V,圆通速递(昆明路店),117.18996,39.116836,1-5,edge,299.4632407103467
B0M6F11I1P,天津医科大学总医院第二住院楼快递柜,117.183925,39.118125,1-5,edge,214.90320672121572
B0FFMHL26X,菜鸟驿站(华荫东里店),117.197416,39.114974,1-2,edge,655.2278091844483
B0FFFP3NEA,连发搬家物流有限公司,117.205709,39.128729,1-4,edge,355.03492417977856
B0FFH81J8V,菜鸟驿站(宜昌北里店),117.1878,39.10895,1-5,edge,822.0969008353561
B0L03RCUQX,中国邮政(宜昌道支行),117.188667,39.109876,1-5,edge,794.9722965218691
B001606C1T,阳明海运股份有限公司,117.197555,39.117805,1-2,edge,538.1829598706673
B0LKRB5AL6,丰巢快递柜(南京路站),117.210975,39.116625,1-2,edge,480.9541538717128
B0LK7Z2JV4,丰巢快递柜(天津医科大学总医院2号门丰巢速递易柜5号),117.18496,39.11777,1-5,edge,175.65678831295398
B0LK3MZ7V5,菜鸟驿站(朝阳里店),117.18876,39.101716,1-5,edge,1474.0669670418426
B0FFMCLO82,顺丰速运(国金快递服务中心),117.199,39.12,1-2,edge,271.3837745009009
B0H2FSLVU6,顺丰速运(汉阳道店),117.191925,39.111025,1-5,edge,866.2751770068417
B0L1JU99Q2,京东快递(赤峰道店),117.208825,39.128175,1-4,edge,352.26442224399216
B0KAAX6ITH,京东天津-碧云营业部,117.190486,39.113511,1-5,edge,601.6083371325342
B0L2GKSCUF,金泉物流有限公司,117.218975,39.116225,1-4,edge,1017.4362858031233
B0FFG6AR19,嘉宏航运(天津)有限公司,117.218586,39.117104,1-4,edge,916.084301481561
B0JDAO5FS9,菜鸟驿站(天津和平岳阳道47号店),117.19748,39.1118,1-2,edge,859.5996822534421
